isRegion, Area ,REVENUE,Total Wellhead Mcf/day,NGL Production Bbls per day, Date 
no,                Michigan SEC ,"2,072,704.09","295,624.75",0.00," Jan, 2017 "
no,                DJ Basin SEC ,"123,366,287.59","787,500.00",78113.00," Jan, 2017 "
no,                Piceance Basin SEC ,"2,684,680.25","81,808.00",2325.00," Jan, 2017 "
yes,           North SEC ,"124,216,383.06","1,199,116.75",82954.18," Jan, 2017 "
no,                Goldsmith/Fullerton SEC ,"32,250,607.57","200,514.00",21763.00," Jan, 2017 "
no,                Ozona SEC ,"26,937,031.60","169,528.47",12929.08," Jan, 2017 "
no,                Southeast New Mexico SEC ,"69,699,969.88","416,245.00",36995.00," Jan, 2017 "
no,                Triad SEC ,"25,469,068.43","147,236.96",19402.10," Jan, 2017 "
no,                Permian Other SEC ,"-6,927,772.04",0.00,0.00," Jan, 2017 "
yes,           Permian SEC ,"147,428,905.44","933,524.43",91089.18," Jan, 2017 "
no,                Arklatex SEC ,"16,986,400.92","369,016.00",18355.00," Jan, 2017 "
no,                Discovery SEC ,0.00,"241,098.00",9011.00," Jan, 2017 "
no,                Gulf Coast SEC ,"6,265,971.19","157,774.39",4531.43," Jan, 2017 "
no,                South Central Texas SEC ,"69,286,541.64","520,270.00",43582.52," Jan, 2017 "
no,                Barnett Shale SEC ,"2,056,722.30","23,159.00",1826.00," Jan, 2017 "
no,                South Other SEC ,"-13,439,607.25",0.00,0.00," Jan, 2017 "
yes,           South SEC ,"81,156,028.80","1,311,317.39",77305.94," Jan, 2017 "
no,                Central Oklahoma SEC ,"36,553,604.32","263,822.00",30563.00," Jan, 2017 "
no,                Liberal SEC ,"40,514,869.44","349,898.21",15885.00," Jan, 2017 "
no,                Panhandle SEC ,"31,350,725.46","195,215.00",13542.00," Jan, 2017 "
no,                Southern Oklahoma SEC ,"38,324,896.36","348,355.00",19817.00," Jan, 2017 "
no,                Mid Continent Other SEC ,"-3,817,983.74",0.00,0.00," Jan, 2017 "
yes,           Mid Continent SEC ,"142,926,111.84","1,157,290.21",79807.00," Jan, 2017 "
no,                G/P Other SEC ,"1,772,426.43",0.00,0.00," Jan, 2017 "
no,                G&P Other Elims SEC ,"-647,814.53",0.00,0.00," Jan, 2017 "
yes,           Gathering and Processing Other SEC ,"1,124,611.90",0.00,0.00," Jan, 2017 "
no,      Gathering and Processing SEC ,"496,852,041.04","4,601,248.78",331156.30," Jan, 2017 "
no,           Gas Marketing SEC ,"290,134,848.31","241,744.00",0.00," Jan, 2017 "
no,           NGL Marketing SEC ,"791,146,326.80",0.00,0.00," Jan, 2017 "
no,           NGL Logistics SEC ,"35,906,796.24",0.00,0.00," Jan, 2017 "
no,           Wholesale Propane SEC ,"29,766,467.55",0.00,0.00," Jan, 2017 "
no,           Logistics Other SEC ,"-407,070,628.68",0.00,0.00," Jan, 2017 "
yes,      Logistics SEC ,"739,883,810.22","241,744.00",0.00," Jan, 2017 "
no,                Michigan SEC ,"1,910,522.86","270,309.65",0.00," Feb, 2017 "
no,                DJ Basin SEC ,"100,370,696.83","808,977.00",86482.96," Feb, 2017 "
no,                Piceance Basin SEC ,"2,635,086.16","87,186.00",2530.00," Feb, 2017 "
yes,           North SEC ,"109,610,662.38","1,201,516.65",91761.09," Feb, 2017 "
no,                Goldsmith/Fullerton SEC ,"30,760,389.07","210,822.00",23955.00," Feb, 2017 "
no,                Ozona SEC ,"23,544,766.50","172,759.56",14886.87," Feb, 2017 "
no,                Southeast New Mexico SEC ,"67,042,590.48","434,276.00",41038.00," Feb, 2017 "
no,                Triad SEC ,"24,215,076.81","156,100.48",19368.20," Feb, 2017 "
no,                Permian Other SEC ,"-5,422,721.47",0.00,0.00," Feb, 2017 "
yes,           Permian SEC ,"140,140,101.39","973,958.04",99248.07," Feb, 2017 "
no,                Arklatex SEC ,"15,675,858.58","346,429.00",15838.00," Feb, 2017 "
no,                Discovery SEC ,0.00,"196,152.00",7082.00," Feb, 2017 "
no,                Gulf Coast SEC ,"6,816,605.54","158,160.25",6086.88," Feb, 2017 "
no,                South Central Texas SEC ,"62,927,349.76","519,133.00",48636.71," Feb, 2017 "
no,                Barnett Shale SEC ,"2,122,462.13","24,303.00",2044.00," Feb, 2017 "
no,                South Other SEC ,"-12,340,080.74",0.00,0.00," Feb, 2017 "
yes,           South SEC ,"75,202,195.27","1,244,177.25",79687.59," Feb, 2017 "
no,                Central Oklahoma SEC ,"32,517,524.74","276,120.00",32791.00," Feb, 2017 "
no,                Liberal SEC ,"37,882,498.53","377,347.60",23811.00," Feb, 2017 "
no,                Panhandle SEC ,"31,053,241.48","219,165.00",17769.00," Feb, 2017 "
no,                Southern Oklahoma SEC ,"34,599,542.54","343,267.00",21192.00," Feb, 2017 "
no,                Mid Continent Other SEC ,"-2,897,688.06",0.00,0.00," Feb, 2017 "
yes,           Mid Continent SEC ,"133,155,119.23","1,215,899.60",95563.00," Feb, 2017 "
no,                G/P Other SEC ,"-5,211,900.94",0.00,0.00," Feb, 2017 "
no,                G&P Other Elims SEC ,"-441,016.58",0.00,0.00," Feb, 2017 "
yes,           Gathering and Processing Other SEC ,"-5,652,917.52",0.00,0.00," Feb, 2017 "
no,      Gathering and Processing SEC ,"452,455,160.75","4,635,551.54",366259.75," Feb, 2017 "
no,           Gas Marketing SEC ,"223,808,064.16","323,777.00",0.00," Feb, 2017 "
no,           NGL Marketing SEC ,"701,968,417.74",0.00,0.00," Feb, 2017 "
no,           NGL Logistics SEC ,"38,939,324.93",0.00,0.00," Feb, 2017 "
no,           Wholesale Propane SEC ,"26,548,419.79",0.00,0.00," Feb, 2017 "
no,           Logistics Other SEC ,"-419,948,961.93",0.00,0.00," Feb, 2017 "
yes,      Logistics SEC ,"571,315,264.69","323,777.00",0.00," Feb, 2017 "
no,                Michigan SEC ,"2,150,639.91","286,011.29",0.00," Mar, 2017 "
no,                DJ Basin SEC ,"82,924,920.52","786,839.19",78114.00," Mar, 2017 "
no,                Piceance Basin SEC ,"2,224,788.01","83,108.00",2373.00," Mar, 2017 "
yes,           North SEC ,"91,816,310.43","1,191,724.48",83142.79," Mar, 2017 "
no,                Goldsmith/Fullerton SEC ,"29,167,879.13","219,638.00",25041.00," Mar, 2017 "
no,                Ozona SEC ,"20,953,654.94","176,640.71",15701.93," Mar, 2017 "
no,                Southeast New Mexico SEC ,"60,536,489.89","438,712.00",44659.00," Mar, 2017 "
no,                Triad SEC ,"19,128,349.59","140,584.74",18472.54," Mar, 2017 "
no,                Permian Other SEC ,"-5,050,432.41",0.00,0.00," Mar, 2017 "
yes,           Permian SEC ,"124,735,941.13","975,575.45",103874.47," Mar, 2017 "
no,                Arklatex SEC ,"16,042,957.04","362,627.00",17082.00," Mar, 2017 "
no,                Discovery SEC ,0.00,"226,339.00",8770.00," Mar, 2017 "
no,                Gulf Coast SEC ,"6,540,240.69","155,505.29",6501.18," Mar, 2017 "
no,                South Central Texas SEC ,"57,930,004.00","511,010.00",48543.00," Mar, 2017 "
no,                Barnett Shale SEC ,"1,959,197.29","24,113.00",2103.00," Mar, 2017 "
no,                South Other SEC ,"-13,961,846.39",0.00,0.00," Mar, 2017 "
yes,           South SEC ,"68,510,552.62","1,279,594.29",82999.18," Mar, 2017 "
no,                Central Oklahoma SEC ,"28,892,510.45","277,544.00",32443.00," Mar, 2017 "
no,                Liberal SEC ,"36,498,969.88","378,883.99",18898.00," Mar, 2017 "
no,                Panhandle SEC ,"26,282,694.92","211,143.00",16425.00," Mar, 2017 "
no,                Southern Oklahoma SEC ,"31,954,282.45","355,927.00",22032.00," Mar, 2017 "
no,                Mid Continent Other SEC ,"-3,957,132.37",0.00,0.00," Mar, 2017 "
yes,           Mid Continent SEC ,"119,671,325.33","1,223,497.99",89798.00," Mar, 2017 "
no,                G/P Other SEC ,"6,687,152.90",0.00,0.00," Mar, 2017 "
no,                G&P Other Elims SEC ,"-339,372.13",0.00,0.00," Mar, 2017 "
yes,           Gathering and Processing Other SEC ,"6,347,780.77",0.00,0.00," Mar, 2017 "
no,      Gathering and Processing SEC ,"411,081,910.28","4,670,392.21",359814.43," Mar, 2017 "
no,           Gas Marketing SEC ,"190,156,670.61","323,550.00",0.00," Mar, 2017 "
no,           NGL Marketing SEC ,"739,712,867.92",0.00,0.00," Mar, 2017 "
no,           NGL Logistics SEC ,"36,371,537.05",0.00,0.00," Mar, 2017 "
no,           Wholesale Propane SEC ,"22,458,887.91",0.00,0.00," Mar, 2017 "
no,           Logistics Other SEC ,"-374,098,254.52",0.00,0.00," Mar, 2017 "
yes,      Logistics SEC ,"614,601,708.97","323,550.00",0.00," Mar, 2017 "
no,                Michigan SEC ,"1,932,891.94","192,922.40",0.00," Apr, 2017 "
no,                DJ Basin SEC ,"89,422,227.69","785,690.60",82421.00," Apr, 2017 "
no,                Piceance Basin SEC ,"2,218,023.18","80,061.00",2305.00," Apr, 2017 "
yes,           North SEC ,"98,651,291.18","1,094,683.00",87530.08," Apr, 2017 "
no,                Goldsmith/Fullerton SEC ,"27,910,204.29","202,060.00",24484.00," Apr, 2017 "
no,                Ozona SEC ,"22,598,014.51","181,079.81",15656.66," Apr, 2017 "
no,                Southeast New Mexico SEC ,"62,946,179.43","441,337.00",44482.00," Apr, 2017 "
no,                Triad SEC ,"20,527,821.21","137,400.42",18049.35," Apr, 2017 "
no,                Permian Other SEC ,"-5,107,709.22",0.00,0.00," Apr, 2017 "
yes,           Permian SEC ,"128,874,510.22","961,877.24",102672.01," Apr, 2017 "
no,                Arklatex SEC ,"16,418,258.96","341,521.00",14605.00," Apr, 2017 "
no,                Discovery SEC ,0.00,"234,159.00",8938.00," Apr, 2017 "
no,                Gulf Coast SEC ,"5,462,743.43","160,168.63",6075.50," Apr, 2017 "
no,                South Central Texas SEC ,"60,808,019.41","513,404.00",50988.00," Apr, 2017 "
no,                Barnett Shale SEC ,"2,056,606.43","23,718.00",2192.00," Apr, 2017 "
no,                South Other SEC ,"-13,366,081.39",0.00,0.00," Apr, 2017 "
yes,           South SEC ,"71,379,546.84","1,272,970.63",82798.50," Apr, 2017 "
no,                Central Oklahoma SEC ,"30,560,464.41","269,545.00",31566.00," Apr, 2017 "
no,                Liberal SEC ,"39,991,741.30","397,651.63",20232.00," Apr, 2017 "
no,                Panhandle SEC ,"26,865,186.28","204,293.00",16359.00," Apr, 2017 "
no,                Southern Oklahoma SEC ,"32,744,707.23","349,965.00",19676.00," Apr, 2017 "
no,                Mid Continent Other SEC ,"-4,097,413.94",0.00,0.00," Apr, 2017 "
yes,           Mid Continent SEC ,"126,064,685.28","1,221,454.63",87833.00," Apr, 2017 "
no,                G/P Other SEC ,"585,980.47",0.00,0.00," Apr, 2017 "
no,                G&P Other Elims SEC ,"-372,428.26",0.00,0.00," Apr, 2017 "
